var,na_qtde,pna,uf
codigo_ibge,0,0,MT
dia_semana,0,0,MT
fase_dia,0,0,MT
tp_acidente,40,0.0015751132112620594,MT
cond_meteorologica,4021,0.15833825556211853,MT
end_acidente,0,0,MT
cep_acidente,25395,1,MT
bairro_acidente,0,0,MT
latitude_acidente,25395,1,MT
longitude_acidente,25395,1,MT
hora_acidente,25395,1,MT
cond_pista,4102,0.1615278598149242,MT
tp_pavimento,3764,0.14821815317975978,MT
lim_velocidade,25395,1,MT
qtde_acidente,0,0,MT
qtde_acid_com_obitos,0,0,MT
qtde_envolvidos,0,0,MT
qtde_feridosilesos,0,0,MT
qtde_obitos,0,0,MT
num_acidente,0,0,PA
chv_localidade,0,0,PA
data_acidente,0,0,PA
uf_acidente,0,0,PA
ano_acidente,0,0,PA
mes_acidente,0,0,PA
mes_ano_acidente,0,0,PA
codigo_ibge,0,0,PA
dia_semana,0,0,PA
fase_dia,8,5.537136884945217e-5,PA
tp_acidente,1,6.921421106181521e-6,PA
cond_meteorologica,49257,0.3409284394271832,PA
end_acidente,19053,0.13187383633607652,PA
cep_acidente,144479,1,PA
bairro_acidente,16772,0.11608607479287647,PA
latitude_acidente,144479,1,PA
longitude_acidente,144479,1,PA
hora_acidente,8,5.537136884945217e-5,PA
cond_pista,49171,0.3403331972120516,PA
tp_pavimento,144479,1,PA
lim_velocidade,144479,1,PA
qtde_acidente,0,0,PA
qtde_acid_com_obitos,0,0,PA
qtde_envolvidos,0,0,PA
qtde_feridosilesos,0,0,PA
qtde_obitos,0,0,PA
num_acidente,0,0,PB
chv_localidade,0,0,PB
data_acidente,0,0,PB
uf_acidente,0,0,PB
ano_acidente,0,0,PB
mes_acidente,0,0,PB
mes_ano_acidente,0,0,PB
codigo_ibge,0,0,PB
dia_semana,0,0,PB
fase_dia,226,0.01995937472401307,PB
tp_acidente,1378,0.12169919632606199,PB
cond_meteorologica,8339,0.7364656009891372,PB
end_acidente,338,0.029850746268656716,PB
cep_acidente,11024,0.9735935706084959,PB
bairro_acidente,2160,0.19076216550384173,PB
latitude_acidente,0,0,PB
longitude_acidente,0,0,PB
hora_acidente,7071,0.624481144572993,PB
cond_pista,9974,0.8808619623774618,PB
tp_pavimento,8074,0.7130619093879714,PB
lim_velocidade,11323,1,PB
qtde_acidente,0,0,PB
qtde_acid_com_obitos,0,0,PB
qtde_envolvidos,0,0,PB
qtde_feridosilesos,0,0,PB
qtde_obitos,0,0,PB
num_acidente,0,0,PE
chv_localidade,0,0,PE
data_acidente,0,0,PE
uf_acidente,0,0,PE
ano_acidente,0,0,PE
mes_acidente,0,0,PE
mes_ano_acidente,0,0,PE
codigo_ibge,0,0,PE
dia_semana,0,0,PE
fase_dia,40047,0.5749418554569731,PE
tp_acidente,36932,0.5302208056967296,PE
cond_meteorologica,0,0,PE
end_acidente,8569,0.12302236770321877,PE
cep_acidente,69654,1,PE
bairro_acidente,69654,1,PE
latitude_acidente,69654,1,PE
longitude_acidente,69654,1,PE
